,neurons_train,mu_train,noise_train,neurons_test,mu_test,noise_test,neurons_as_noise,neurons_as_mu,hits_neuron,mu_as_noise,mu_as_neuron,hits_mu,hits_noise,misses_noise,hits_noise_pc,hits_neuron_pc,hits_mu_pc,mu_neuron_pc,mu_noise_pc,neu_mu_pc,neu_noise_pc,falses_positives_pc
0,133,78,501,183,126,549,34,28,121,49,45,32,434,115,79.05282331511839,66.12021857923497,25.396825396825395,35.714285714285715,38.88888888888889,15.300546448087433,18.579234972677597,16.054158607350097
1,222,138,702,94,66,348,11,10,73,16,23,27,288,60,82.75862068965517,77.6595744680851,40.909090909090914,34.84848484848485,24.242424242424242,10.638297872340425,11.702127659574469,8.571428571428571
2,162,70,454,154,134,596,15,27,112,46,43,45,532,64,89.26174496644296,72.72727272727273,33.582089552238806,32.08955223880597,34.32835820895522,17.532467532467532,9.740259740259742,10.286677908937605
3,165,91,533,151,113,517,22,19,110,38,34,41,453,64,87.62088974854933,72.84768211920529,36.283185840707965,30.08849557522124,33.6283185840708,12.582781456953644,14.56953642384106,11.695906432748536
4,165,52,420,151,152,630,16,14,121,58,61,33,553,77,87.77777777777777,80.13245033112582,21.710526315789476,40.131578947368425,38.15789473684211,9.271523178807946,10.596026490066226,11.802232854864434
5,190,102,514,126,102,536,16,27,83,43,23,36,430,106,80.22388059701493,65.87301587301587,35.294117647058826,22.54901960784314,42.15686274509804,21.428571428571427,12.698412698412698,12.065439672801636
6,109,94,366,207,110,684,29,39,139,25,29,56,577,107,84.35672514619883,67.14975845410628,50.90909090909091,26.36363636363636,22.727272727272727,18.84057971014493,14.009661835748794,8.55784469096672
7,201,120,582,115,84,468,12,12,91,26,27,31,380,88,81.19658119658119,79.13043478260869,36.904761904761905,32.142857142857146,30.952380952380953,10.434782608695652,10.434782608695652,9.090909090909092
8,171,73,287,145,131,763,13,13,119,35,48,48,621,142,81.38925294888598,82.06896551724138,36.6412213740458,36.6412213740458,26.717557251908396,8.96551724137931,8.96551724137931,7.174887892376682
9,130,81,400,186,123,650,40,45,101,33,33,57,530,120,81.53846153846153,54.3010752688172,46.34146341463415,26.82926829268293,26.82926829268293,24.193548387096776,21.50537634408602,12.106135986733001
10,184,120,638,132,84,412,31,32,69,31,18,35,369,43,89.56310679611651,52.27272727272727,41.66666666666667,21.428571428571427,36.904761904761905,24.242424242424242,23.484848484848484,14.385150812064964
11,196,131,533,120,73,517,25,39,56,34,14,25,450,67,87.04061895551257,46.666666666666664,34.24657534246575,19.17808219178082,46.57534246575342,32.5,20.833333333333336,11.591355599214145
12,164,98,534,152,106,516,16,32,104,28,43,35,400,116,77.51937984496125,68.42105263157895,33.0188679245283,40.56603773584906,26.41509433962264,21.052631578947366,10.526315789473683,9.90990990990991
13,144,60,402,172,144,648,23,18,131,47,50,47,594,54,91.66666666666666,76.16279069767442,32.63888888888889,34.72222222222222,32.63888888888889,10.465116279069768,13.372093023255813,10.542168674698797
14,141,145,657,175,59,393,29,49,97,10,16,33,337,56,85.75063613231552,55.42857142857143,55.932203389830505,27.11864406779661,16.94915254237288,28.000000000000004,16.57142857142857,10.372340425531915
15,135,76,517,181,128,533,25,23,133,47,38,43,480,53,90.0562851782364,73.48066298342542,33.59375,29.6875,36.71875,12.70718232044199,13.812154696132598,13.043478260869565
16,177,82,372,139,122,678,14,10,115,34,43,45,551,127,81.26843657817109,82.73381294964028,36.885245901639344,35.24590163934426,27.86885245901639,7.194244604316546,10.071942446043165,8.013355592654424
17,173,101,590,143,103,460,18,22,103,35,31,37,371,89,80.65217391304348,72.02797202797203,35.92233009708738,30.097087378640776,33.980582524271846,15.384615384615385,12.587412587412588,12.5
18,129,106,474,187,98,576,32,55,100,30,22,46,483,93,83.85416666666666,53.475935828877006,46.93877551020408,22.448979591836736,30.612244897959183,29.411764705882355,17.11229946524064,11.376146788990827
19,174,98,610,142,106,440,17,19,106,30,40,36,367,73,83.4090909090909,74.64788732394366,33.9622641509434,37.735849056603776,28.30188679245283,13.380281690140844,11.971830985915492,11.352657004830919
20,189,60,476,127,144,574,13,11,103,43,61,40,486,88,84.66898954703834,81.10236220472441,27.77777777777778,42.36111111111111,29.86111111111111,8.661417322834646,10.236220472440944,10.33210332103321
